,,,x,y,z,xyz,,,,,x,y,z,xyz,,,,,G,A,
22.4,,155,2,0,1.1,2.24,2.282542442,,,155,26.5,12.8,105.3,109.3,,,155,0,105.3,37.831,105.3
12.2,,156,0.9,0.8,0.2,1.22,0.921954446,,,156,-59.4,110.6,-131.5,181.8,,,156,0.8,-131.5,117.831,131.5
4.3,,157,0.4,-0.2,0.1,0.43,0.412310563,,,157,46.6,-74,-237.3,252.9,,,157,-0.2,-237.3,17.831,237.3
30.2,,158,2,-2,-1.1,3.02,2.282542442,,,158,-3.9,-21.7,21.4,30.7,,,158,-2,21.4,162.169,21.4
17.3,,159,1.4,-0.9,0.4,1.73,1.456021978,,,159,111.6,-22.7,250,274.7,,,159,-0.9,250,52.169,250
13.6,,160,1.1,-0.1,0.8,1.36,1.360147051,,,160,-34.3,128.6,187.2,229.7,,,160,-0.1,187.2,27.831,187.2
16.8,,161,1.2,1.2,-0.1,1.68,1.204159458,,,161,-134.3,130.8,-143.8,236.3,,,161,1.2,-143.8,157.831,143.8
9.4,,162,0.9,-0.4,0.1,0.94,0.905538514,,,162,-24.3,53.5,-215.4,223.2,,,162,-0.4,-215.4,2.169,215.4
23.7,,163,0.8,-2,-1,2.37,1.280624847,,,163,124,44.7,-72.5,150.4,,,163,-2,-72.5,162.169,72.5
15.7,,164,1.3,-0.9,0,1.57,1.3,,,164,97.4,-165.1,250,315,,,164,-0.9,250,52.169,250
19.2,,165,1.2,0.9,1.2,1.92,1.697056275,,,165,71.3,117.4,99,169.3,,,165,0.9,99,127.831,99
10,,166,0.9,0.4,-0.1,1,0.905538514,,,166,-72.2,153.1,-117.9,206.3,,,166,0.4,-117.9,77.831,117.9
10.1,,167,0.7,-0.2,0.7,1.01,0.989949494,,,167,-25.4,-22.7,-189.9,193,,,167,-0.2,-189.9,17.831,189.9
27.4,,168,1.9,-1.5,1.3,2.74,2.302172887,,,168,142,13.2,-250,287.8,,,168,-1.5,-250,112.169,250
19.1,,169,0.5,-1.8,0.1,1.91,0.509901951,,,169,32.9,-250,222.7,336.4,,,169,-1.8,222.7,142.169,222.7
17.9,,170,1.5,-0.2,1,1.79,1.802775638,,,170,50,2.4,250,255,,,170,-0.2,250,17.831,250
23,,171,1.8,1.3,0.8,2.3,1.96977156,,,171,-122.7,180.9,105.8,242.8,,,171,1.3,105.8,167.831,105.8
16,,172,1.5,0.1,0.5,1.6,1.58113883,,,172,10.6,76.6,-245.7,257.6,,,172,0.1,-245.7,47.831,245.7
24.5,,173,1.9,-1.4,0.8,2.45,2.061552813,,,173,174.3,30.1,-250,306.3,,,173,-1.4,-250,102.169,250
21.2,,174,0.7,-2,-0.2,2.12,0.728010989,,,174,-40,-55.9,207.6,218.7,,,174,-2,207.6,162.169,207.6
21.2,,175,1.7,-0.2,1.2,2.12,2.080865205,,,175,-37.1,-32.1,250,254.8,,,175,-0.2,250,17.831,250
23,,176,1.5,1.6,0.8,2.3,1.7,,,176,-2.4,163.1,68.3,176.8,,,176,1.6,68.3,197.831,68.3
9.8,,177,0.8,0.3,0.4,0.98,0.894427191,,,177,9,22.7,-221.7,223,,,177,0.3,-221.7,67.831,221.7
16.6,,178,1.2,-0.8,0.9,1.66,1.5,,,178,61.1,34.2,-227,237.5,,,178,-0.8,-227,42.169,227
26.3,,179,1.6,-2,0.5,2.63,1.676305461,,,179,48.7,28,85.7,102.4,,,179,-2,85.7,162.169,85.7
3.7,,180,0.4,0,0.1,0.37,0.412310563,,,180,7.5,-78.8,188.3,204.3,,,180,0,188.3,37.831,188.3
15.6,,181,0.9,-0.5,1.1,1.56,1.42126704,,,181,40.4,65.3,3.5,76.8,,,181,-0.5,3.5,12.169,3.5
17.8,,182,1.3,0.7,1,1.78,1.640121947,,,182,-80.8,34.4,17.5,89.5,,,182,0.7,17.5,107.831,17.5
2.2,,183,0.1,0.1,0.2,0.22,0.223606798,,,183,-63.5,-33.7,-105.2,127.4,,,183,0.1,-105.2,47.831,105.2
13.7,,184,1,-1,0,1.37,1,,,184,84.9,-85.3,74,141.3,,,184,-1,74,62.169,74
7.8,,185,-0.2,-0.6,0.4,0.78,0.447213595,,,185,84.7,18.7,131.6,157.6,,,185,-0.6,131.6,22.169,131.6
23.5,,186,1.6,0.4,1.7,2.35,2.334523506,,,186,-111.7,28.3,76.2,138.1,,,186,0.4,76.2,77.831,76.2
6.3,,187,0.2,0.4,0.4,0.63,0.447213595,,,187,-109.5,35,16.7,116.1,,,187,0.4,16.7,77.831,16.7
19.1,,188,1.5,-0.3,1.1,1.91,1.860107524,,,188,33.1,-30.9,-197.2,202.4,,,188,-0.3,-197.2,7.831,197.2
21.7,,189,0.5,-2,-0.7,2.17,0.860232527,,,189,-26.7,11.1,58.3,65.1,,,189,-2,58.3,162.169,58.3
4.6,,190,0.1,-0.3,0.3,0.46,0.316227766,,,190,76.2,-38,145.1,168.2,,,190,-0.3,145.1,7.831,145.1
19.6,,191,1.2,0.8,1.3,1.96,1.769180601,,,191,43.5,-5.8,93.8,103.5,,,191,0.8,93.8,117.831,93.8
10.2,,192,0.8,0.3,0.5,1.02,0.943398113,,,192,-113.6,8.1,-48.9,123.9,,,192,0.3,-48.9,67.831,48.9
11.8,,193,1,-0.2,0.7,1.18,1.220655562,,,193,-2.6,-43.8,-248.2,252,,,193,-0.2,-248.2,17.831,248.2
